"Activity ID","Name","Start","Finish","Duration","Trade/Area","Predicted Location","Predicted Trade Name"
"CON-2215","MYD1-Storm Seq.19-Fire Lane-North Laterals","2025-11-07","2025-11-07","40","UNO3A > 05 > 10 > 3 > 09","MYD1 MCP",""
"CON-3390","MYD1-Sanitary Seq.6.5-USS-Laterals","2025-11-07","2025-11-07","104","UNO3A > 05 > 10 > 3 > 10","MYD1 MCP",""
"CON-3035","EYD1-Water/Fire Water Seq.3.5-East","2025-11-07","2025-11-07","56","UNO3A > 05 > 10 > 3 > 05","EYD1 Gen Yard",""
"CON-6535","MYD1-Water/Fire Water Seq.6.5-West Ring Road","2025-11-07","2025-11-07","120","UNO3A > 05 > 10 > 3 > 14","MYD1 MCP",""
"CON-7190","MYD1-MV Trench Seq.4.5-USS FRP/SOG","2025-11-07","2025-11-07","128","UNO3A > 05 > 10 > 3 > 10","MYD1 MCP",""
"CON-1115","DCH1-Electrical Sleeves-1-North","2025-11-07","2025-11-07","16","UNO3A > 05 > 04 > 05 > 03","DCH1",""
"CON-1205","DCH2-Electrical Sleeves-2-North","2025-11-07","2025-11-07","24","UNO3A > 05 > 04 > 05 > 04","DCH2",""
"CON-1235","DCH2-Electrical Sleeves-2-South","2025-11-07","2025-11-07","32","UNO3A > 05 > 04 > 05 > 04","DCH2",""
"CON-1140","DCH1-Electrical Sleeves-1-South","2025-11-07","2025-11-07","24","UNO3A > 05 > 04 > 05 > 03","DCH1",""
"PRO-31235","EYD1-Conveyance-S14 OFE Drawings not received","2025-11-07","2025-11-07","8","UNO3A > 04 > 03 > 03 > 01 > 03","EYD1 Gen Yard","Conveyance"
"PRO-31240","EYD1-Conveyance-Receive S14 OFE Shop Drawings","2025-11-07","2025-11-07","504","UNO3A > 04 > 03 > 03 > 01 > 03","EYD1 Gen Yard","Conveyance"
"CON-105010","MCP-1-PCW UG Piping-MCP-01","2025-11-07","2025-11-07","16","UNO3A > 05 > 08 > 1 > 1 > 4","MYD1 MCP",""
"CON-105015","PCW UG Piping-MCP-02","2025-11-07","2025-11-07","24","UNO3A > 05 > 08 > 1 > 1 > 1","MYD1 MCP",""
"CON-105025","PCW UG Piping-MCP-06","2025-11-07","2025-11-07","24","UNO3A > 05 > 08 > 1 > 1 > 3","MYD1 MCP",""
"CON-105085","EYD1-MV Trench Seq.7 USS-Phase 2","2025-11-07","2025-11-07","104","UNO3A > 05 > 10 > 3 > 05","EYD1 Gen Yard",""
"CON-105090","EYD1-MV Trench Seq.6 USS-Phase 2","2025-11-07","2025-11-07","104","UNO3A > 05 > 10 > 3 > 05","EYD1 Gen Yard",""
"CON-105100","DCH1-Deep UG Plumbing-East","2025-11-07","2025-11-07","72","UNO3A > 05 > 04 > 05 > 03","DCH1",""
"CON-105105","EYD2-Storm Seq.2.5USS (Impact #4-Additional Structure)","2025-11-07","2025-11-07","80","UNO3A > 05 > 10 > 3 > 05","EYD2 Gen Yard",""
"PRO-31265","MYD1-Conveyance-Receive CFG OFE Shop Drawings","2025-11-07","2025-11-07","720","UNO3A > 04 > 03 > 03 > 01 > 05","MYD1 MCP","Conveyance"
"PRO-31425","DCH1-Overhead-Electrical Calcs","2025-11-07","2025-11-07","320","UNO3A > 04 > 03 > 03 > 01 > 07 > 01","DCH1",""
"CX-10058","EYD1-Temporary Control Power Available (480V to BDC)","2025-11-07","2025-11-07","0","UNO3A > 06 > 01 > 1","EYD1 Gen Yard",""
"CX-10062","EYD1-SSS-B BDC/DCP/DCOP Energization (GCQ)","2025-11-07","2025-11-07","16","UNO3A > 06 > 01 > 1 > 3 > 2","EYD1 Gen Yard",""
"CX-10151","EYD1-Fiber to Phase 1 Generator BTLCPs Complete","2025-11-07","2025-11-07","0","UNO3A > 06 > 01 > 4 > 6","EYD1 Gen Yard","Generator Placement"
"CX-10152","EYD1-Fiber to Phase 2 Generator BTLCPs Complete","2025-11-07","2025-11-07","0","UNO3A > 06 > 01 > 4 > 6","EYD1 Gen Yard","Generator Placement"
"CX-10153","EYD1-Fiber to Fill Station Skid Complete","2025-11-07","2025-11-07","0","UNO3A > 06 > 01 > 4 > 6","EYD1 Gen Yard","Backfill"
"CX-10056","EYD1-GPS Module L2 GCQ (Control Power/RCx)","2025-11-07","2025-11-07","40","UNO3A > 06 > 01 > 4 > 6 > 3 > 1","EYD1 Gen Yard",""
"PRO-30365","Fire Pump Tank Procurement","2025-11-07","2025-11-07","1296","UNO3A > 04 > 03 > 03 > 02 > 18 > 1","Fire Pump House","Booster Pump System Installation"
