date,location,trade,status
2025/04/11,ADMIN ASSISTANT 125,In Wall Insulation,in progress
2025/04/11,ADMIN ASSISTANT 125,Overhead Duct Insulation,in progress
2025/04/11,ADMIN ASSISTANT 125,Overhead Duct Rough In,in progress
2025/04/11,ADMIN ASSISTANT 125,Overhead Plumbing,not started
2025/04/11,ADMIN ASSISTANT 125,Wall Drywall,in progress
2025/04/11,ADMIN ASSISTANT 125,Wall Drywall Finish,in progress
2025/04/11,ADMIN ASSISTANT 125,Wall Prime Paint,not started
2025/04/11,AV ROOM 103,In Wall Insulation,complete
2025/04/11,AV ROOM 103,Overhead Duct Insulation,in progress
2025/04/11,AV ROOM 103,Overhead Duct Rough In,in progress
2025/04/11,AV ROOM 103,Overhead Plumbing,not started
2025/04/11,AV ROOM 103,Wall Drywall,in progress
2025/04/11,AV ROOM 103,Wall Drywall Finish,in progress
2025/04/11,AV ROOM 103,Wall Prime Paint,not started
2025/04/11,BREAK ROOM CONFERENCE 182,In Wall Insulation,in progress
2025/04/11,BREAK ROOM CONFERENCE 182,Overhead Duct Insulation,in progress
2025/04/11,BREAK ROOM CONFERENCE 182,Overhead Duct Rough In,in progress
2025/04/11,BREAK ROOM CONFERENCE 182,Overhead Plumbing,in progress
2025/04/11,BREAK ROOM CONFERENCE 182,Wall Drywall,in progress
2025/04/11,BREAK ROOM CONFERENCE 182,Wall Drywall Finish,not started
2025/04/11,BREAK ROOM CONFERENCE 182,Wall Prime Paint,not started
2025/04/11,Background-159,In Wall Insulation,no data
2025/04/11,Background-159,Overhead Duct Insulation,no data
2025/04/11,Background-159,Overhead Duct Rough In,no data
2025/04/11,Background-159,Overhead Plumbing,no data
2025/04/11,Background-159,Wall Drywall,no data
2025/04/11,Background-159,Wall Drywall Finish,no data
2025/04/11,Background-159,Wall Prime Paint,no data
2025/04/11,CENTRAL BREAKROOM 145,In Wall Insulation,no data
2025/04/11,CENTRAL BREAKROOM 145,Overhead Duct Insulation,no data
2025/04/11,CENTRAL BREAKROOM 145,Overhead Duct Rough In,no data
2025/04/11,CENTRAL BREAKROOM 145,Overhead Plumbing,no data
2025/04/11,CENTRAL BREAKROOM 145,Wall Drywall,no data
2025/04/11,CENTRAL BREAKROOM 145,Wall Drywall Finish,no data
2025/04/11,CENTRAL BREAKROOM 145,Wall Prime Paint,no data
2025/04/11,COLD CASE 175,In Wall Insulation,complete
2025/04/11,COLD CASE 175,Overhead Duct Insulation,in progress
2025/04/11,COLD CASE 175,Overhead Duct Rough In,in progress
2025/04/11,COLD CASE 175,Overhead Plumbing,in progress
2025/04/11,COLD CASE 175,Wall Drywall,complete
2025/04/11,COLD CASE 175,Wall Drywall Finish,complete
2025/04/11,COLD CASE 175,Wall Prime Paint,in progress
2025/04/11,COMMUNITY AFFAIRS 124,In Wall Insulation,complete
2025/04/11,COMMUNITY AFFAIRS 124,Overhead Duct Insulation,in progress
2025/04/11,COMMUNITY AFFAIRS 124,Overhead Duct Rough In,in progress
2025/04/11,COMMUNITY AFFAIRS 124,Overhead Plumbing,not started
2025/04/11,COMMUNITY AFFAIRS 124,Wall Drywall,complete
2025/04/11,COMMUNITY AFFAIRS 124,Wall Drywall Finish,in progress
2025/04/11,COMMUNITY AFFAIRS 124,Wall Prime Paint,not started
2025/04/11,COMMUNITY ROOM 247 PPL 102,In Wall Insulation,in progress
2025/04/11,COMMUNITY ROOM 247 PPL 102,Overhead Duct Insulation,in progress
2025/04/11,COMMUNITY ROOM 247 PPL 102,Overhead Duct Rough In,in progress
2025/04/11,COMMUNITY ROOM 247 PPL 102,Overhead Plumbing,not started
2025/04/11,COMMUNITY ROOM 247 PPL 102,Wall Drywall,in progress
2025/04/11,COMMUNITY ROOM 247 PPL 102,Wall Drywall Finish,not started
2025/04/11,COMMUNITY ROOM 247 PPL 102,Wall Prime Paint,not started
2025/04/11,CONFERENCE ROOM 153,In Wall Insulation,no data
2025/04/11,CONFERENCE ROOM 153,Overhead Duct Insulation,no data
2025/04/11,CONFERENCE ROOM 153,Overhead Duct Rough In,no data
2025/04/11,CONFERENCE ROOM 153,Overhead Plumbing,no data
2025/04/11,CONFERENCE ROOM 153,Wall Drywall,no data
2025/04/11,CONFERENCE ROOM 153,Wall Drywall Finish,no data
2025/04/11,CONFERENCE ROOM 153,Wall Prime Paint,no data
2025/04/11,CONFERENCE/WAR ROOM 163,In Wall Insulation,no data
2025/04/11,CONFERENCE/WAR ROOM 163,Overhead Duct Insulation,no data
2025/04/11,CONFERENCE/WAR ROOM 163,Overhead Duct Rough In,no data
2025/04/11,CONFERENCE/WAR ROOM 163,Overhead Plumbing,no data
2025/04/11,CONFERENCE/WAR ROOM 163,Wall Drywall,no data
2025/04/11,CONFERENCE/WAR ROOM 163,Wall Drywall Finish,no data
2025/04/11,CONFERENCE/WAR ROOM 163,Wall Prime Paint,no data
2025/04/11,COPY 176,In Wall Insulation,complete
2025/04/11,COPY 176,Overhead Duct Insulation,in progress
2025/04/11,COPY 176,Overhead Duct Rough In,in progress
2025/04/11,COPY 176,Overhead Plumbing,not started
2025/04/11,COPY 176,Wall Drywall,complete
2025/04/11,COPY 176,Wall Drywall Finish,complete
2025/04/11,COPY 176,Wall Prime Paint,complete
2025/04/11,COPY/MAIL ROOM 114,In Wall Insulation,complete
2025/04/11,COPY/MAIL ROOM 114,Overhead Duct Insulation,not started
2025/04/11,COPY/MAIL ROOM 114,Overhead Duct Rough In,in progress
2025/04/11,COPY/MAIL ROOM 114,Overhead Plumbing,in progress
2025/04/11,COPY/MAIL ROOM 114,Wall Drywall,complete
2025/04/11,COPY/MAIL ROOM 114,Wall Drywall Finish,complete
2025/04/11,COPY/MAIL ROOM 114,Wall Prime Paint,not started
2025/04/11,CORRIDOR 107,In Wall Insulation,complete
2025/04/11,CORRIDOR 107,Overhead Duct Insulation,in progress
2025/04/11,CORRIDOR 107,Overhead Duct Rough In,in progress
2025/04/11,CORRIDOR 107,Overhead Plumbing,not started
2025/04/11,CORRIDOR 107,Wall Drywall,complete
2025/04/11,CORRIDOR 107,Wall Drywall Finish,in progress
2025/04/11,CORRIDOR 107,Wall Prime Paint,not started
2025/04/11,CORRIDOR 108,In Wall Insulation,complete
2025/04/11,CORRIDOR 108,In Wall Insulation,in progress
2025/04/11,CORRIDOR 108,Overhead Duct Insulation,in progress
2025/04/11,CORRIDOR 108,Overhead Duct Insulation,in progress
2025/04/11,CORRIDOR 108,Overhead Duct Rough In,in progress
2025/04/11,CORRIDOR 108,Overhead Duct Rough In,in progress
2025/04/11,CORRIDOR 108,Overhead Plumbing,in progress
2025/04/11,CORRIDOR 108,Overhead Plumbing,not started
2025/04/11,CORRIDOR 108,Wall Drywall,complete
2025/04/11,CORRIDOR 108,Wall Drywall,in progress
2025/04/11,CORRIDOR 108,Wall Drywall Finish,in progress
2025/04/11,CORRIDOR 108,Wall Drywall Finish,in progress
2025/04/11,CORRIDOR 108,Wall Prime Paint,not started
2025/04/11,CORRIDOR 108,Wall Prime Paint,not started
2025/04/11,CORRIDOR 109,In Wall Insulation,in progress
2025/04/11,CORRIDOR 109,Overhead Duct Insulation,in progress
2025/04/11,CORRIDOR 109,Overhead Duct Rough In,in progress
2025/04/11,CORRIDOR 109,Overhead Plumbing,in progress
2025/04/11,CORRIDOR 109,Wall Drywall,in progress
2025/04/11,CORRIDOR 109,Wall Drywall Finish,in progress
2025/04/11,CORRIDOR 109,Wall Prime Paint,not started
2025/04/11,CORRIDOR 110,In Wall Insulation,complete
2025/04/11,CORRIDOR 110,In Wall Insulation,complete
2025/04/11,CORRIDOR 110,Overhead Duct Insulation,in progress
2025/04/11,CORRIDOR 110,Overhead Duct Insulation,in progress
2025/04/11,CORRIDOR 110,Overhead Duct Rough In,in progress
2025/04/11,CORRIDOR 110,Overhead Duct Rough In,in progress
2025/04/11,CORRIDOR 110,Overhead Plumbing,in progress
2025/04/11,CORRIDOR 110,Overhead Plumbing,in progress
2025/04/11,CORRIDOR 110,Wall Drywall,complete
2025/04/11,CORRIDOR 110,Wall Drywall,complete
2025/04/11,CORRIDOR 110,Wall Drywall Finish,in progress
2025/04/11,CORRIDOR 110,Wall Drywall Finish,in progress
2025/04/11,CORRIDOR 110,Wall Prime Paint,not started
2025/04/11,CORRIDOR 110,Wall Prime Paint,not started
2025/04/11,CORRIDOR 181,In Wall Insulation,in progress
2025/04/11,CORRIDOR 181,Overhead Duct Insulation,not started
2025/04/11,CORRIDOR 181,Overhead Duct Rough In,in progress
2025/04/11,CORRIDOR 181,Overhead Plumbing,in progress
2025/04/11,CORRIDOR 181,Wall Drywall,in progress
2025/04/11,CORRIDOR 181,Wall Drywall Finish,not started
2025/04/11,CORRIDOR 181,Wall Prime Paint,not started
2025/04/11,CORRIDOR144,In Wall Insulation,in progress
2025/04/11,CORRIDOR144,Overhead Duct Insulation,in progress
2025/04/11,CORRIDOR144,Overhead Duct Rough In,in progress
2025/04/11,CORRIDOR144,Overhead Plumbing,in progress
2025/04/11,CORRIDOR144,Wall Drywall,in progress
2025/04/11,CORRIDOR144,Wall Drywall Finish,in progress
2025/04/11,CORRIDOR144,Wall Prime Paint,in progress
2025/04/11,CPL 173,In Wall Insulation,complete
2025/04/11,CPL 173,Overhead Duct Insulation,in progress
2025/04/11,CPL 173,Overhead Duct Rough In,in progress
2025/04/11,CPL 173,Overhead Plumbing,in progress
2025/04/11,CPL 173,Wall Drywall,in progress
2025/04/11,CPL 173,Wall Drywall Finish,in progress
2025/04/11,CPL 173,Wall Prime Paint,in progress
2025/04/11,CPL 174,In Wall Insulation,complete
2025/04/11,CPL 174,Overhead Duct Insulation,in progress
2025/04/11,CPL 174,Overhead Duct Rough In,in progress
2025/04/11,CPL 174,Overhead Plumbing,not started
2025/04/11,CPL 174,Wall Drywall,complete
2025/04/11,CPL 174,Wall Drywall Finish,complete
2025/04/11,CPL 174,Wall Prime Paint,in progress
2025/04/11,DRY STORAGE 146,In Wall Insulation,no data
2025/04/11,DRY STORAGE 146,Overhead Duct Insulation,no data
2025/04/11,DRY STORAGE 146,Overhead Duct Rough In,no data
2025/04/11,DRY STORAGE 146,Overhead Plumbing,no data
2025/04/11,DRY STORAGE 146,Wall Drywall,no data
2025/04/11,DRY STORAGE 146,Wall Drywall Finish,no data
2025/04/11,DRY STORAGE 146,Wall Prime Paint,no data
2025/04/11,FIRE RISER 178,In Wall Insulation,no data
2025/04/11,FIRE RISER 178,Overhead Duct Insulation,no data
2025/04/11,FIRE RISER 178,Overhead Duct Rough In,no data
2025/04/11,FIRE RISER 178,Overhead Plumbing,no data
2025/04/11,FIRE RISER 178,Wall Drywall,no data
2025/04/11,FIRE RISER 178,Wall Drywall Finish,no data
2025/04/11,FIRE RISER 178,Wall Prime Paint,no data
2025/04/11,GREETING ROOM 106,In Wall Insulation,complete
2025/04/11,GREETING ROOM 106,Overhead Duct Insulation,in progress
2025/04/11,GREETING ROOM 106,Overhead Duct Rough In,in progress
2025/04/11,GREETING ROOM 106,Overhead Plumbing,not started
2025/04/11,GREETING ROOM 106,Wall Drywall,complete
2025/04/11,GREETING ROOM 106,Wall Drywall Finish,in progress
2025/04/11,GREETING ROOM 106,Wall Prime Paint,not started
2025/04/11,HR 149,In Wall Insulation,no data
2025/04/11,HR 149,Overhead Duct Insulation,no data
2025/04/11,HR 149,Overhead Duct Rough In,no data
2025/04/11,HR 149,Overhead Plumbing,no data
2025/04/11,HR 149,Wall Drywall,no data
2025/04/11,HR 149,Wall Drywall Finish,no data
2025/04/11,HR 149,Wall Prime Paint,no data
2025/04/11,HR 150,In Wall Insulation,no data
2025/04/11,HR 150,Overhead Duct Insulation,no data
2025/04/11,HR 150,Overhead Duct Rough In,no data
2025/04/11,HR 150,Overhead Plumbing,no data
2025/04/11,HR 150,Wall Drywall,no data
2025/04/11,HR 150,Wall Drywall Finish,no data
2025/04/11,HR 150,Wall Prime Paint,no data
2025/04/11,HR 151,In Wall Insulation,no data
2025/04/11,HR 151,Overhead Duct Insulation,no data
2025/04/11,HR 151,Overhead Duct Rough In,no data
2025/04/11,HR 151,Overhead Plumbing,no data
2025/04/11,HR 151,Wall Drywall,no data
2025/04/11,HR 151,Wall Drywall Finish,no data
2025/04/11,HR 151,Wall Prime Paint,no data
2025/04/11,HR 154,In Wall Insulation,no data
2025/04/11,HR 154,Overhead Duct Insulation,no data
2025/04/11,HR 154,Overhead Duct Rough In,no data
2025/04/11,HR 154,Overhead Plumbing,no data
2025/04/11,HR 154,Wall Drywall,no data
2025/04/11,HR 154,Wall Drywall Finish,no data
2025/04/11,HR 154,Wall Prime Paint,no data
2025/04/11,HR 155,In Wall Insulation,no data
2025/04/11,HR 155,Overhead Duct Insulation,no data
2025/04/11,HR 155,Overhead Duct Rough In,no data
2025/04/11,HR 155,Overhead Plumbing,no data
2025/04/11,HR 155,Wall Drywall,no data
2025/04/11,HR 155,Wall Drywall Finish,no data
2025/04/11,HR 155,Wall Prime Paint,no data
2025/04/11,HR 156,In Wall Insulation,no data
2025/04/11,HR 156,Overhead Duct Insulation,no data
2025/04/11,HR 156,Overhead Duct Rough In,no data
2025/04/11,HR 156,Overhead Plumbing,no data
2025/04/11,HR 156,Wall Drywall,no data
2025/04/11,HR 156,Wall Drywall Finish,no data
2025/04/11,HR 156,Wall Prime Paint,no data
2025/04/11,HR 157,In Wall Insulation,not started
2025/04/11,HR 157,Overhead Duct Insulation,not started
2025/04/11,HR 157,Overhead Duct Rough In,in progress
2025/04/11,HR 157,Overhead Plumbing,in progress
2025/04/11,HR 157,Wall Drywall,not started
2025/04/11,HR 157,Wall Drywall Finish,not started
2025/04/11,HR 157,Wall Prime Paint,not started
2025/04/11,HUMAN RESOURCES 148,In Wall Insulation,not started
2025/04/11,HUMAN RESOURCES 148,Overhead Duct Insulation,not started
2025/04/11,HUMAN RESOURCES 148,Overhead Duct Rough In,in progress
2025/04/11,HUMAN RESOURCES 148,Overhead Plumbing,not started
2025/04/11,HUMAN RESOURCES 148,Wall Drywall,not started
2025/04/11,HUMAN RESOURCES 148,Wall Drywall Finish,not started
2025/04/11,HUMAN RESOURCES 148,Wall Prime Paint,not started
2025/04/11,INTERNAL AFFAIRS 119,In Wall Insulation,complete
2025/04/11,INTERNAL AFFAIRS 119,Overhead Duct Insulation,not started
2025/04/11,INTERNAL AFFAIRS 119,Overhead Duct Rough In,in progress
2025/04/11,INTERNAL AFFAIRS 119,Overhead Plumbing,no data
2025/04/11,INTERNAL AFFAIRS 119,Wall Drywall,complete
2025/04/11,INTERNAL AFFAIRS 119,Wall Drywall Finish,in progress
2025/04/11,INTERNAL AFFAIRS 119,Wall Prime Paint,not started
2025/04/11,INTERNAL AFFAIRS 120,In Wall Insulation,complete
2025/04/11,INTERNAL AFFAIRS 120,Overhead Duct Insulation,in progress
2025/04/11,INTERNAL AFFAIRS 120,Overhead Duct Rough In,in progress
2025/04/11,INTERNAL AFFAIRS 120,Overhead Plumbing,not started
2025/04/11,INTERNAL AFFAIRS 120,Wall Drywall,complete
2025/04/11,INTERNAL AFFAIRS 120,Wall Drywall Finish,in progress
2025/04/11,INTERNAL AFFAIRS 120,Wall Prime Paint,not started
2025/04/11,INTERVIEW / REVIEW ROOM 118,In Wall Insulation,complete
2025/04/11,INTERVIEW / REVIEW ROOM 118,Overhead Duct Insulation,in progress
2025/04/11,INTERVIEW / REVIEW ROOM 118,Overhead Duct Rough In,in progress
2025/04/11,INTERVIEW / REVIEW ROOM 118,Overhead Plumbing,not started
2025/04/11,INTERVIEW / REVIEW ROOM 118,Wall Drywall,complete
2025/04/11,INTERVIEW / REVIEW ROOM 118,Wall Drywall Finish,in progress
2025/04/11,INTERVIEW / REVIEW ROOM 118,Wall Prime Paint,not started
2025/04/11,INTERVIEW/ REVIEW ROOM 121,In Wall Insulation,complete
2025/04/11,INTERVIEW/ REVIEW ROOM 121,Overhead Duct Insulation,in progress
2025/04/11,INTERVIEW/ REVIEW ROOM 121,Overhead Duct Rough In,in progress
2025/04/11,INTERVIEW/ REVIEW ROOM 121,Overhead Plumbing,in progress
2025/04/11,INTERVIEW/ REVIEW ROOM 121,Wall Drywall,complete
2025/04/11,INTERVIEW/ REVIEW ROOM 121,Wall Drywall Finish,in progress
2025/04/11,INTERVIEW/ REVIEW ROOM 121,Wall Prime Paint,not started
2025/04/11,INVESTIGATIONS / MAJOR CASE 167,In Wall Insulation,complete
2025/04/11,INVESTIGATIONS / MAJOR CASE 167,Overhead Duct Insulation,in progress
2025/04/11,INVESTIGATIONS / MAJOR CASE 167,Overhead Duct Rough In,in progress
2025/04/11,INVESTIGATIONS / MAJOR CASE 167,Overhead Plumbing,in progress
2025/04/11,INVESTIGATIONS / MAJOR CASE 167,Wall Drywall,complete
2025/04/11,INVESTIGATIONS / MAJOR CASE 167,Wall Drywall Finish,complete
2025/04/11,INVESTIGATIONS / MAJOR CASE 167,Wall Prime Paint,complete
2025/04/11,IT 115,In Wall Insulation,in progress
2025/04/11,IT 115,Overhead Duct Insulation,not started
2025/04/11,IT 115,Overhead Duct Rough In,not started
2025/04/11,IT 115,Overhead Plumbing,in progress
2025/04/11,IT 115,Wall Drywall,in progress
2025/04/11,IT 115,Wall Drywall Finish,in progress
2025/04/11,IT 115,Wall Prime Paint,not started
2025/04/11,IT 135,In Wall Insulation,complete
2025/04/11,IT 135,Overhead Duct Insulation,in progress
2025/04/11,IT 135,Overhead Duct Rough In,in progress
2025/04/11,IT 135,Overhead Plumbing,in progress
2025/04/11,IT 135,Wall Drywall,complete
2025/04/11,IT 135,Wall Drywall Finish,in progress
2025/04/11,IT 135,Wall Prime Paint,not started
2025/04/11,IT MANAGER 136,In Wall Insulation,no data
2025/04/11,IT MANAGER 136,Overhead Duct Insulation,no data
2025/04/11,IT MANAGER 136,Overhead Duct Rough In,no data
2025/04/11,IT MANAGER 136,Overhead Plumbing,no data
2025/04/11,IT MANAGER 136,Wall Drywall,no data
2025/04/11,IT MANAGER 136,Wall Drywall Finish,no data
2025/04/11,IT MANAGER 136,Wall Prime Paint,no data
2025/04/11,IT MANAGER 137,In Wall Insulation,complete
2025/04/11,IT MANAGER 137,Overhead Duct Insulation,in progress
2025/04/11,IT MANAGER 137,Overhead Duct Rough In,in progress
2025/04/11,IT MANAGER 137,Overhead Plumbing,in progress
2025/04/11,IT MANAGER 137,Wall Drywall,complete
2025/04/11,IT MANAGER 137,Wall Drywall Finish,in progress
2025/04/11,IT MANAGER 137,Wall Prime Paint,not started
2025/04/11,JUVENILE INTERVIEW 165,In Wall Insulation,complete
2025/04/11,JUVENILE INTERVIEW 165,Overhead Duct Insulation,in progress
2025/04/11,JUVENILE INTERVIEW 165,Overhead Duct Rough In,in progress
2025/04/11,JUVENILE INTERVIEW 165,Overhead Plumbing,complete
2025/04/11,JUVENILE INTERVIEW 165,Wall Drywall,complete
2025/04/11,JUVENILE INTERVIEW 165,Wall Drywall Finish,complete
2025/04/11,JUVENILE INTERVIEW 165,Wall Prime Paint,complete
2025/04/11,JUVENILLE INTERVIEWERS 166,In Wall Insulation,complete
2025/04/11,JUVENILLE INTERVIEWERS 166,Overhead Duct Insulation,in progress
2025/04/11,JUVENILLE INTERVIEWERS 166,Overhead Duct Rough In,in progress
2025/04/11,JUVENILLE INTERVIEWERS 166,Overhead Plumbing,no data
2025/04/11,JUVENILLE INTERVIEWERS 166,Wall Drywall,complete
2025/04/11,JUVENILLE INTERVIEWERS 166,Wall Drywall Finish,complete
2025/04/11,JUVENILLE INTERVIEWERS 166,Wall Prime Paint,in progress
2025/04/11,KEY ROOM 185,In Wall Insulation,in progress
2025/04/11,KEY ROOM 185,Overhead Duct Insulation,not started
2025/04/11,KEY ROOM 185,Overhead Duct Rough In,in progress
2025/04/11,KEY ROOM 185,Overhead Plumbing,no data
2025/04/11,KEY ROOM 185,Wall Drywall,in progress
2025/04/11,KEY ROOM 185,Wall Drywall Finish,not started
2025/04/11,KEY ROOM 185,Wall Prime Paint,not started
2025/04/11,LT 170,In Wall Insulation,complete
2025/04/11,LT 170,Overhead Duct Insulation,in progress
2025/04/11,LT 170,Overhead Duct Rough In,in progress
2025/04/11,LT 170,Overhead Plumbing,not started
2025/04/11,LT 170,Wall Drywall,complete
2025/04/11,LT 170,Wall Drywall Finish,complete
2025/04/11,LT 170,Wall Prime Paint,complete
2025/04/11,MACHINE ROOM 191,In Wall Insulation,complete
2025/04/11,MACHINE ROOM 191,Overhead Duct Insulation,not started
2025/04/11,MACHINE ROOM 191,Overhead Duct Rough In,in progress
2025/04/11,MACHINE ROOM 191,Overhead Plumbing,not started
2025/04/11,MACHINE ROOM 191,Wall Drywall,complete
2025/04/11,MACHINE ROOM 191,Wall Drywall Finish,in progress
2025/04/11,MACHINE ROOM 191,Wall Prime Paint,not started
2025/04/11,MAIN ELECTRICAL ROOM 123,In Wall Insulation,no data
2025/04/11,MAIN ELECTRICAL ROOM 123,Overhead Duct Insulation,no data
2025/04/11,MAIN ELECTRICAL ROOM 123,Overhead Duct Rough In,no data
2025/04/11,MAIN ELECTRICAL ROOM 123,Overhead Plumbing,no data
2025/04/11,MAIN ELECTRICAL ROOM 123,Wall Drywall,no data
2025/04/11,MAIN ELECTRICAL ROOM 123,Wall Drywall Finish,no data
2025/04/11,MAIN ELECTRICAL ROOM 123,Wall Prime Paint,no data
2025/04/11,MAIN JANITORIAL111,In Wall Insulation,complete
2025/04/11,MAIN JANITORIAL111,Overhead Duct Insulation,in progress
2025/04/11,MAIN JANITORIAL111,Overhead Duct Rough In,in progress
2025/04/11,MAIN JANITORIAL111,Overhead Plumbing,in progress
2025/04/11,MAIN JANITORIAL111,Wall Drywall,complete
2025/04/11,MAIN JANITORIAL111,Wall Drywall Finish,complete
2025/04/11,MAIN JANITORIAL111,Wall Prime Paint,in progress
2025/04/11,MARINE SERGEANT 142,In Wall Insulation,complete
2025/04/11,MARINE SERGEANT 142,Overhead Duct Insulation,in progress
2025/04/11,MARINE SERGEANT 142,Overhead Duct Rough In,in progress
2025/04/11,MARINE SERGEANT 142,Overhead Plumbing,in progress
2025/04/11,MARINE SERGEANT 142,Wall Drywall,complete
2025/04/11,MARINE SERGEANT 142,Wall Drywall Finish,complete
2025/04/11,MARINE SERGEANT 142,Wall Prime Paint,not started
2025/04/11,MECHANICAL 192,In Wall Insulation,no data
2025/04/11,MECHANICAL 192,Overhead Duct Insulation,no data
2025/04/11,MECHANICAL 192,Overhead Duct Rough In,no data
2025/04/11,MECHANICAL 192,Overhead Plumbing,no data
2025/04/11,MECHANICAL 192,Wall Drywall,no data
2025/04/11,MECHANICAL 192,Wall Drywall Finish,no data
2025/04/11,MECHANICAL 192,Wall Prime Paint,no data
2025/04/11,MECHANICAL ROOM 122,In Wall Insulation,no data
2025/04/11,MECHANICAL ROOM 122,Overhead Duct Insulation,no data
2025/04/11,MECHANICAL ROOM 122,Overhead Duct Rough In,no data
2025/04/11,MECHANICAL ROOM 122,Overhead Plumbing,no data
2025/04/11,MECHANICAL ROOM 122,Wall Drywall,no data
2025/04/11,MECHANICAL ROOM 122,Wall Drywall Finish,no data
2025/04/11,MECHANICAL ROOM 122,Wall Prime Paint,no data
2025/04/11,MENS RESTROOM 112,In Wall Insulation,in progress
2025/04/11,MENS RESTROOM 112,Overhead Duct Insulation,in progress
2025/04/11,MENS RESTROOM 112,Overhead Duct Rough In,in progress
2025/04/11,MENS RESTROOM 112,Overhead Plumbing,in progress
2025/04/11,MENS RESTROOM 112,Wall Drywall,not started
2025/04/11,MENS RESTROOM 112,Wall Drywall Finish,not started
2025/04/11,MENS RESTROOM 112,Wall Prime Paint,not started
2025/04/11,MIS EQUIPMENT STORAGE 138,In Wall Insulation,no data
2025/04/11,MIS EQUIPMENT STORAGE 138,Overhead Duct Insulation,no data
2025/04/11,MIS EQUIPMENT STORAGE 138,Overhead Duct Rough In,no data
2025/04/11,MIS EQUIPMENT STORAGE 138,Overhead Plumbing,no data
2025/04/11,MIS EQUIPMENT STORAGE 138,Wall Drywall,no data
2025/04/11,MIS EQUIPMENT STORAGE 138,Wall Drywall Finish,no data
2025/04/11,MIS EQUIPMENT STORAGE 138,Wall Prime Paint,no data
2025/04/11,MIS SHREDDING 117,In Wall Insulation,in progress
2025/04/11,MIS SHREDDING 117,Overhead Duct Insulation,not started
2025/04/11,MIS SHREDDING 117,Overhead Duct Rough In,not started
2025/04/11,MIS SHREDDING 117,Overhead Plumbing,in progress
2025/04/11,MIS SHREDDING 117,Wall Drywall,in progress
2025/04/11,MIS SHREDDING 117,Wall Drywall Finish,not started
2025/04/11,MIS SHREDDING 117,Wall Prime Paint,not started
2025/04/11,OFFICE 128,In Wall Insulation,complete
2025/04/11,OFFICE 128,Overhead Duct Insulation,in progress
2025/04/11,OFFICE 128,Overhead Duct Rough In,in progress
2025/04/11,OFFICE 128,Overhead Plumbing,not started
2025/04/11,OFFICE 128,Wall Drywall,complete
2025/04/11,OFFICE 128,Wall Drywall Finish,complete
2025/04/11,OFFICE 128,Wall Prime Paint,not started
2025/04/11,OPERATIONS SUPPORT DIVISION 139,In Wall Insulation,complete
2025/04/11,OPERATIONS SUPPORT DIVISION 139,Overhead Duct Insulation,in progress
2025/04/11,OPERATIONS SUPPORT DIVISION 139,Overhead Duct Rough In,in progress
2025/04/11,OPERATIONS SUPPORT DIVISION 139,Overhead Plumbing,not started
2025/04/11,OPERATIONS SUPPORT DIVISION 139,Wall Drywall,complete
2025/04/11,OPERATIONS SUPPORT DIVISION 139,Wall Drywall Finish,in progress
2025/04/11,OPERATIONS SUPPORT DIVISION 139,Wall Prime Paint,not started
2025/04/11,PARTS STORAGE 189,In Wall Insulation,not started
2025/04/11,PARTS STORAGE 189,Overhead Duct Insulation,not started
2025/04/11,PARTS STORAGE 189,Overhead Duct Rough In,in progress
2025/04/11,PARTS STORAGE 189,Overhead Plumbing,not started
2025/04/11,PARTS STORAGE 189,Wall Drywall,in progress
2025/04/11,PARTS STORAGE 189,Wall Drywall Finish,in progress
2025/04/11,PARTS STORAGE 189,Wall Prime Paint,not started
2025/04/11,PUBLIC RESTROOM 106,In Wall Insulation,no data
2025/04/11,PUBLIC RESTROOM 106,Overhead Duct Insulation,no data
2025/04/11,PUBLIC RESTROOM 106,Overhead Duct Rough In,no data
2025/04/11,PUBLIC RESTROOM 106,Overhead Plumbing,no data
2025/04/11,PUBLIC RESTROOM 106,Wall Drywall,no data
2025/04/11,PUBLIC RESTROOM 106,Wall Drywall Finish,no data
2025/04/11,PUBLIC RESTROOM 106,Wall Prime Paint,no data
2025/04/11,Polygraph 152,In Wall Insulation,no data
2025/04/11,Polygraph 152,Overhead Duct Insulation,no data
2025/04/11,Polygraph 152,Overhead Duct Rough In,no data
2025/04/11,Polygraph 152,Overhead Plumbing,no data
2025/04/11,Polygraph 152,Wall Drywall,no data
2025/04/11,Polygraph 152,Wall Drywall Finish,no data
2025/04/11,Polygraph 152,Wall Prime Paint,no data
2025/04/11,RECEPTION 101,In Wall Insulation,not started
2025/04/11,RECEPTION 101,Overhead Duct Insulation,not started
2025/04/11,RECEPTION 101,Overhead Duct Rough In,not started
2025/04/11,RECEPTION 101,Overhead Plumbing,not started
2025/04/11,RECEPTION 101,Wall Drywall,not started
2025/04/11,RECEPTION 101,Wall Drywall Finish,not started
2025/04/11,RECEPTION 101,Wall Prime Paint,not started
2025/04/11,RECEPTION 147,In Wall Insulation,in progress
2025/04/11,RECEPTION 147,Overhead Duct Insulation,in progress
2025/04/11,RECEPTION 147,Overhead Duct Rough In,in progress
2025/04/11,RECEPTION 147,Overhead Plumbing,in progress
2025/04/11,RECEPTION 147,Wall Drywall,in progress
2025/04/11,RECEPTION 147,Wall Drywall Finish,not started
2025/04/11,RECEPTION 147,Wall Prime Paint,no data
2025/04/11,RECEPTION 179,In Wall Insulation,in progress
